msg,goodpractices
"Merge pull request #50 from ISIS3510-202410-Team23/feature/43-google-maps-api

Feature/43-google-maps-api",1
fix: Cloud Firestore Dependency Added,1
Feat: Implemented first version of DTO,1
Fix: Changes in DTO and BLoC logic,1
Fix: Final Fixes to DTO implementation,1
"Merge pull request #51 from ISIS3510-202410-Team23/feature/5-fetch-spots-backend

Feature/5-fetch-spots-backend",1
"Bug Fix - Correct User on Review POST (#52)

* fix: path error for browseview

* fix: firebase cloudstore added to dependencies

* fix: get user email

* fix: correct user on each review post

* fix: months",1
"Bug-fix/9-backend-review-creation (#54)

* fix: path error for browseview

* fix: firebase cloudstore added to dependencies

* fix: get user email

* fix: correct user on each review post

* fix: months

* fix: file path errors fixed

* fix: minAndroidVersion updated",1
fix: minSdkVersion changed,1
Feat: Implemented distance calculation,1
Fix: Fix on Browse view on restaurant card and browse bar,1
Merge branch 'Dev' into feature/53-calculate-spot-distance,1
"Merge pull request #55 from ISIS3510-202410-Team23/feature/53-calculate-spot-distance

Feature/53-calculate-spot-distance",1
Refactoring changes to the pubspec yaml file,1
Merge branch 'Dev' of https://github.com/ISIS3510-202410-Team23/FlutterApp into Dev,1
"Bug-fix/9-backend-review-creation (#56)

* fix: path error for browseview

* fix: firebase cloudstore added to dependencies

* fix: get user email

* fix: correct user on each review post

* fix: months

* fix: file path errors fixed

* fix: minAndroidVersion updated

* feature: link between review and restaurant

* feauture: image upload and saved in firestore

* feature: correct firestore path to image in review post

* fix: bug fixed where it would post two reviews",1
feature: camera and gallery permission pop up,1
fix: bug optional imageURL field,1
"Merge pull request #59 from ISIS3510-202410-Team23/feauture/41-camera-photos-permission

Feauture/41-camera-photos-permission",1
Setup completed. The tests for scheduled notifications,1
Implemented the reminder notification in case a large amount of time has passed before their last review,1
Merge branch 'Dev' into feature/11-days-since-last-review-notification,1
"Merge pull request #61 from ISIS3510-202410-Team23/feature/11-days-since-last-review-notification

Feature/11-days-since-last-review-notification",1
Dependencies were updated,1
feature: http request & for you page ui! (#62),1
feature: respective reviews for each (#63),1
"Feature/64-functional-categories-search-bar (#65)

* feature: functional categories search bar

* fix: little params fix on CategoriesAndStarsView const",1
"bug-fix: Android Back-button desabled when in BrowseView, ForYouView or BookMarksView (#67)",1
fix: Fixed Images URI display,1
"Merge pull request #69 from ISIS3510-202410-Team23/bug-fix/67-images-URI-fix

Bug-fix/67-images-URI-fix",1
bug-fix: abb disabled when in authentication process,1
"Merge pull request #71 from ISIS3510-202410-Team23/bug-fix/70-disable-abb-login-view

Bug-fix/70-disable-abb-login-view",1
fix: removed TO-DO comments,1
"Feature/73-review-post-restrictions (#74)

* feature: at least one category has to be selected

* feature: all stats must have a rating",1
"Bug-fix/72-review-reminder-overwrites-contextAware-Notif (#76)

* Identified the problem occurrig with the notifications

* fix: two notifications working

* fix: Test tasks commented and adjusted for production functionality

---------

Co-authored-by: nklopstock611 <n.klopstock@uniandes.edu.co>",1
Merge branch 'main' into Dev,1
"Merge pull request #77 from ISIS3510-202410-Team23/Dev

Dev",1
"Merge branch 'main' into develop

Signed-off-by: Maria Castro Iregui <m.castroi@uniandes.edu.co>

# Conflicts:
#	FoodBookApp.xcodeproj/project.xcworkspace/xcuserdata/juan.xcuserdatad/UserInterfaceState.xcuserstate
#	FoodBookApp.xcodeproj/project.xcworkspace/xcuserdata/laura.xcuserdatad/UserInterfaceState.xcuserstate",1
Initial commit,0
Se vienen cositas,0
Update modeloODS.ipynb,0
Se vienen cositas,0
Se vienen más cosas - falta lematizar,0
ups,0
"lematizando pero ojitoo, no tan bien",0
se me habia olvidado guardar,0
la limmetizacion funciona? - pero me voy a comer,0
La verdad esto no tiene sentido - me voy a mimir,0
no cambié nada pero puse bibliografia cool,0
"y si el dia se pone feooo, tu me lo haces",0
Update modeloODS.ipynb,0
BestModel,0
Update modeloODS.ipynb,0
Un modelo mas,0
Mirando que funcionara el coso pa exportar,0
Update modeloODS.ipynb,0
Cositas,0
"melo,caramelo",0
cositas para tener la API,0
Cambio pequeño pasando de compu,0
No tan sencillo como esperaba pero estamos bien,0
Melo Caramelo,0
Cositas,0
Funciones para permitir leer archivos,0
un mini comentario,0
Comentario importante,0
Cositas,0
FInal,0
